{'loss': 0.6931, 'learning_rate': 6.6666666666666675e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -172.3125, 'logps/chosen': -104.98149108886719, 'logits/rejected': -111.53292083740234, 'logits/chosen': -110.38957977294922, 'epoch': 0.0}
{'loss': 0.2383, 'learning_rate': 0.00035294117647058826, 'rewards/chosen': -1.0496163368225098, 'rewards/rejected': -3.144432544708252, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 2.094815969467163, 'logps/rejected': -161.88583374023438, 'logps/chosen': -124.4652099609375, 'logits/rejected': -110.5581283569336, 'logits/chosen': -109.63496398925781, 'epoch': 2.8}
{'loss': 0.2502, 'learning_rate': 0.0003411764705882353, 'rewards/chosen': -1.153571367263794, 'rewards/rejected': -3.3449578285217285, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 2.1913864612579346, 'logps/rejected': -164.610107421875, 'logps/chosen': -116.40045166015625, 'logits/rejected': -113.40141296386719, 'logits/chosen': -112.42926025390625, 'epoch': 2.84}
{'loss': 0.3639, 'learning_rate': 0.0003294117647058824, 'rewards/chosen': -1.0401557683944702, 'rewards/rejected': -3.048388719558716, 'rewards/accuracies': 0.7749999761581421, 'rewards/margins': 2.0082333087921143, 'logps/rejected': -153.3043212890625, 'logps/chosen': -123.62803649902344, 'logits/rejected': -113.9703369140625, 'logits/chosen': -114.82450866699219, 'epoch': 2.88}
{'loss': 0.2351, 'learning_rate': 0.0003176470588235294, 'rewards/chosen': -1.2950634956359863, 'rewards/rejected': -3.5739541053771973, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 2.278890371322632, 'logps/rejected': -183.1850128173828, 'logps/chosen': -121.7014389038086, 'logits/rejected': -116.97904205322266, 'logits/chosen': -116.66241455078125, 'epoch': 2.92}
{'loss': 0.2654, 'learning_rate': 0.0003058823529411765, 'rewards/chosen': -1.1250064373016357, 'rewards/rejected': -4.00736665725708, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 2.8823602199554443, 'logps/rejected': -212.17019653320312, 'logps/chosen': -117.4830322265625, 'logits/rejected': -115.18321228027344, 'logits/chosen': -114.59193420410156, 'epoch': 2.96}
{'loss': 0.2754, 'learning_rate': 0.00029411764705882356, 'rewards/chosen': -1.092285394668579, 'rewards/rejected': -3.4229369163513184, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 2.3306517601013184, 'logps/rejected': -161.21731567382812, 'logps/chosen': -125.0077133178711, 'logits/rejected': -115.92720794677734, 'logits/chosen': -115.58514404296875, 'epoch': 3.0}
{'loss': 0.116, 'learning_rate': 0.00028235294117647056, 'rewards/chosen': -1.3436506986618042, 'rewards/rejected': -5.070601463317871, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 3.7269508838653564, 'logps/rejected': -195.08212280273438, 'logps/chosen': -126.01115417480469, 'logits/rejected': -116.14701843261719, 'logits/chosen': -114.60826110839844, 'epoch': 3.04}
{'loss': 0.1052, 'learning_rate': 0.0002705882352941176, 'rewards/chosen': -1.1934986114501953, 'rewards/rejected': -4.414506912231445, 'rewards/accuracies': 1.0, 'rewards/margins': 3.221008777618408, 'logps/rejected': -184.03509521484375, 'logps/chosen': -116.8347396850586, 'logits/rejected': -114.162841796875, 'logits/chosen': -113.08602142333984, 'epoch': 3.08}
{'loss': 0.1561, 'learning_rate': 0.00025882352941176474, 'rewards/chosen': -1.2693963050842285, 'rewards/rejected': -4.504873752593994, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 3.2354767322540283, 'logps/rejected': -171.39710998535156, 'logps/chosen': -110.08235168457031, 'logits/rejected': -114.41341400146484, 'logits/chosen': -112.34456634521484, 'epoch': 3.12}
{'loss': 0.1606, 'learning_rate': 0.0002470588235294118, 'rewards/chosen': -1.3505418300628662, 'rewards/rejected': -5.131880760192871, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 3.781338930130005, 'logps/rejected': -198.31448364257812, 'logps/chosen': -112.8117904663086, 'logits/rejected': -118.5689697265625, 'logits/chosen': -118.70721435546875, 'epoch': 3.16}
{'loss': 0.125, 'learning_rate': 0.00023529411764705883, 'rewards/chosen': -1.1417553424835205, 'rewards/rejected': -4.497156143188477, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 3.355400800704956, 'logps/rejected': -190.78768920898438, 'logps/chosen': -131.14028930664062, 'logits/rejected': -116.80387115478516, 'logits/chosen': -116.26717376708984, 'epoch': 3.2}
{'loss': 0.0749, 'learning_rate': 0.0002235294117647059, 'rewards/chosen': -1.7637660503387451, 'rewards/rejected': -5.869764804840088, 'rewards/accuracies': 1.0, 'rewards/margins': 4.105998992919922, 'logps/rejected': -266.9354553222656, 'logps/chosen': -139.71224975585938, 'logits/rejected': -116.34831237792969, 'logits/chosen': -115.02165222167969, 'epoch': 3.24}
{'loss': 0.0646, 'learning_rate': 0.00021176470588235295, 'rewards/chosen': -2.4952352046966553, 'rewards/rejected': -6.986447811126709, 'rewards/accuracies': 1.0, 'rewards/margins': 4.491211891174316, 'logps/rejected': -235.3907470703125, 'logps/chosen': -148.0423126220703, 'logits/rejected': -117.40447998046875, 'logits/chosen': -115.62017822265625, 'epoch': 3.28}
{'loss': 0.1373, 'learning_rate': 0.0002, 'rewards/chosen': -1.7835403680801392, 'rewards/rejected': -4.8550214767456055, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 3.0714807510375977, 'logps/rejected': -164.22679138183594, 'logps/chosen': -134.63084411621094, 'logits/rejected': -118.22381591796875, 'logits/chosen': -118.6270751953125, 'epoch': 3.32}
{'loss': 0.0571, 'learning_rate': 0.00018823529411764707, 'rewards/chosen': -1.393129587173462, 'rewards/rejected': -6.269238471984863, 'rewards/accuracies': 1.0, 'rewards/margins': 4.876109600067139, 'logps/rejected': -254.1908416748047, 'logps/chosen': -125.66314697265625, 'logits/rejected': -118.1988296508789, 'logits/chosen': -115.2324447631836, 'epoch': 3.36}
{'loss': 0.0927, 'learning_rate': 0.00017647058823529413, 'rewards/chosen': -2.2029261589050293, 'rewards/rejected': -7.0327467918396, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 4.829821586608887, 'logps/rejected': -211.07217407226562, 'logps/chosen': -129.82516479492188, 'logits/rejected': -122.63410949707031, 'logits/chosen': -121.49613189697266, 'epoch': 3.4}
{'loss': 0.1263, 'learning_rate': 0.0001647058823529412, 'rewards/chosen': -1.9797585010528564, 'rewards/rejected': -5.457694053649902, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 3.477935791015625, 'logps/rejected': -168.974609375, 'logps/chosen': -162.1348876953125, 'logits/rejected': -119.8781967163086, 'logits/chosen': -120.5970458984375, 'epoch': 3.44}
{'loss': 0.0881, 'learning_rate': 0.00015294117647058825, 'rewards/chosen': -1.9688867330551147, 'rewards/rejected': -6.246190547943115, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 4.277304172515869, 'logps/rejected': -273.78009033203125, 'logps/chosen': -156.320556640625, 'logits/rejected': -117.4004135131836, 'logits/chosen': -115.21916198730469, 'epoch': 3.48}
{'loss': 0.1251, 'learning_rate': 0.00014117647058823528, 'rewards/chosen': -1.8334157466888428, 'rewards/rejected': -5.230191230773926, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 3.396775007247925, 'logps/rejected': -196.70628356933594, 'logps/chosen': -127.3089370727539, 'logits/rejected': -119.07672119140625, 'logits/chosen': -118.10209655761719, 'epoch': 3.52}
{'loss': 0.1059, 'learning_rate': 0.00012941176470588237, 'rewards/chosen': -1.8302329778671265, 'rewards/rejected': -5.558600425720215, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 3.728367567062378, 'logps/rejected': -194.3427734375, 'logps/chosen': -126.70152282714844, 'logits/rejected': -120.62205505371094, 'logits/chosen': -119.50103759765625, 'epoch': 3.56}
{'loss': 0.1101, 'learning_rate': 0.00011764705882352942, 'rewards/chosen': -1.8331620693206787, 'rewards/rejected': -5.840785026550293, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 4.007622718811035, 'logps/rejected': -236.08511352539062, 'logps/chosen': -145.63034057617188, 'logits/rejected': -117.9591293334961, 'logits/chosen': -116.44578552246094, 'epoch': 3.6}
{'loss': 0.0892, 'learning_rate': 0.00010588235294117647, 'rewards/chosen': -1.5000581741333008, 'rewards/rejected': -4.990348815917969, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 3.490290880203247, 'logps/rejected': -202.21701049804688, 'logps/chosen': -133.02606201171875, 'logits/rejected': -119.33415222167969, 'logits/chosen': -118.41197204589844, 'epoch': 3.64}
{'loss': 0.1556, 'learning_rate': 9.411764705882353e-05, 'rewards/chosen': -1.6153215169906616, 'rewards/rejected': -4.334356784820557, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 2.7190346717834473, 'logps/rejected': -141.4668731689453, 'logps/chosen': -119.45143127441406, 'logits/rejected': -123.7931900024414, 'logits/chosen': -124.31840515136719, 'epoch': 3.68}
{'loss': 0.0615, 'learning_rate': 8.23529411764706e-05, 'rewards/chosen': -1.2721413373947144, 'rewards/rejected': -4.895359039306641, 'rewards/accuracies': 1.0, 'rewards/margins': 3.6232173442840576, 'logps/rejected': -159.6070556640625, 'logps/chosen': -97.67759704589844, 'logits/rejected': -120.08052062988281, 'logits/chosen': -119.10760498046875, 'epoch': 3.72}
{'loss': 0.0777, 'learning_rate': 7.058823529411764e-05, 'rewards/chosen': -2.110938310623169, 'rewards/rejected': -6.581700325012207, 'rewards/accuracies': 1.0, 'rewards/margins': 4.470761299133301, 'logps/rejected': -240.96206665039062, 'logps/chosen': -134.28665161132812, 'logits/rejected': -119.43743896484375, 'logits/chosen': -118.597900390625, 'epoch': 3.76}
{'loss': 0.1029, 'learning_rate': 5.882352941176471e-05, 'rewards/chosen': -2.2132339477539062, 'rewards/rejected': -6.5336198806762695, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 4.320384979248047, 'logps/rejected': -210.89517211914062, 'logps/chosen': -162.13119506835938, 'logits/rejected': -119.46644592285156, 'logits/chosen': -118.44136047363281, 'epoch': 3.8}
{'loss': 0.0543, 'learning_rate': 4.705882352941177e-05, 'rewards/chosen': -1.3981598615646362, 'rewards/rejected': -5.504399299621582, 'rewards/accuracies': 1.0, 'rewards/margins': 4.106239318847656, 'logps/rejected': -166.02256774902344, 'logps/chosen': -139.57669067382812, 'logits/rejected': -118.5078125, 'logits/chosen': -119.24446105957031, 'epoch': 3.84}
{'loss': 0.1636, 'learning_rate': 3.529411764705882e-05, 'rewards/chosen': -1.9379794597625732, 'rewards/rejected': -5.770532608032227, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 3.832552671432495, 'logps/rejected': -215.1471710205078, 'logps/chosen': -131.08128356933594, 'logits/rejected': -120.37577819824219, 'logits/chosen': -117.66828918457031, 'epoch': 3.88}
{'loss': 0.1024, 'learning_rate': 2.3529411764705884e-05, 'rewards/chosen': -1.2727787494659424, 'rewards/rejected': -4.772887229919434, 'rewards/accuracies': 1.0, 'rewards/margins': 3.500108003616333, 'logps/rejected': -159.49452209472656, 'logps/chosen': -130.02056884765625, 'logits/rejected': -118.8629150390625, 'logits/chosen': -117.76322937011719, 'epoch': 3.92}
{'loss': 0.0765, 'learning_rate': 1.1764705882352942e-05, 'rewards/chosen': -1.6861940622329712, 'rewards/rejected': -5.985146522521973, 'rewards/accuracies': 1.0, 'rewards/margins': 4.298953056335449, 'logps/rejected': -209.44577026367188, 'logps/chosen': -157.66539001464844, 'logits/rejected': -121.15167236328125, 'logits/chosen': -121.12220764160156, 'epoch': 3.96}
{'loss': 0.0858, 'learning_rate': 0.0, 'rewards/chosen': -1.5217294692993164, 'rewards/rejected': -5.345677375793457, 'rewards/accuracies': 1.0, 'rewards/margins': 3.8239474296569824, 'logps/rejected': -193.39256286621094, 'logps/chosen': -123.60771179199219, 'logits/rejected': -123.6960678100586, 'logits/chosen': -121.60606384277344, 'epoch': 4.0}
{'game_log': <wandb.data_types.Table object at 0x2ac2435149d0>, 'epoch': 4.0}
{'eval_loss': 0.9447808861732483, 'eval_runtime': 61.0075, 'eval_samples_per_second': 16.391, 'eval_steps_per_second': 2.049, 'eval_rewards/chosen': -3.165203094482422, 'eval_rewards/rejected': -4.219851970672607, 'eval_rewards/accuracies': 0.621999979019165, 'eval_rewards/margins': 1.0546491146087646, 'eval_logps/rejected': -191.10072326660156, 'eval_logps/chosen': -151.8717498779297, 'eval_logits/rejected': -117.21914672851562, 'eval_logits/chosen': -116.7474136352539, 'epoch': 4.0}
{'train_runtime': 404.0568, 'train_samples_per_second': 9.9, 'train_steps_per_second': 2.475, 'train_loss': 0.3783491520285606, 'epoch': 4.0}
